observation_date,MSPUS
2013-01-01,258400
2013-04-01,268100
2013-07-01,264800
2013-10-01,273600
2014-01-01,275200
2014-04-01,288000
2014-07-01,281000
2014-10-01,298900
2015-01-01,289200
2015-04-01,289100
2015-07-01,295800
2015-10-01,302500
2016-01-01,299800
2016-04-01,306000
2016-07-01,303800
2016-10-01,310900
2017-01-01,313100
2017-04-01,318200
2017-07-01,320500
2017-10-01,337900
2018-01-01,331800
2018-04-01,315600
2018-07-01,330900
2018-10-01,322800
2019-01-01,313000
2019-04-01,322500
2019-07-01,318400
2019-10-01,327100
2020-01-01,329000
2020-04-01,317100
2020-07-01,327900
2020-10-01,338600
2021-01-01,355000
2021-04-01,367800
2021-07-01,395200
2021-10-01,414000
2022-01-01,413500
2022-04-01,437700
2022-07-01,438000
2022-10-01,442600
2023-01-01,429000
