Index,interest_rate
01/01/2013,0.08440142
01/02/2013,0.17210018
01/03/2013,0.05034072
01/04/2013,-0.02421188
01/05/2013,-0.01939123
01/06/2013,0.22769375
01/07/2013,0.54638104
01/08/2013,0.47506869
01/09/2013,0.54083451
01/10/2013,0.49296942
01/11/2013,0.48963774
01/12/2013,0.41829993
01/01/2014,0.68063671
01/02/2014,0.50867731
01/03/2014,0.58045318
01/04/2014,0.7022221
01/05/2014,0.62685415
01/06/2014,0.62452944
01/07/2014,0.59099495
01/08/2014,0.6494057
01/09/2014,0.58085993
01/10/2014,0.7009647
01/11/2014,0.71330026
01/12/2014,0.38472537
01/01/2015,0.7099428
01/02/2015,0.53838038
01/03/2015,0.75170542
01/04/2015,0.41032252
01/05/2015,0.53392144
01/06/2015,0.5537778
01/07/2015,0.6670749
01/08/2015,0.54830556
01/09/2015,0.51245991
01/10/2015,0.52877171
01/11/2015,0.6662057
01/12/2015,0.64742223
01/01/2016,0.73450597
01/02/2016,0.538738
01/03/2016,0.55140742
01/04/2016,0.34527268
01/05/2016,0.41364983
01/06/2016,0.51909852
01/07/2016,0.16534694
01/08/2016,0.22683746
01/09/2016,0.2160743
01/10/2016,0.28979681
01/11/2016,0.34660933
01/12/2016,0.70045658
01/01/2017,0.72565107
01/02/2017,0.77438158
01/03/2017,0.91650302
01/04/2017,0.76575378
01/05/2017,0.7764088
01/06/2017,0.73611135
01/07/2017,0.72501612
01/08/2017,0.67086016
01/09/2017,0.56521264
01/10/2017,0.72914351
01/11/2017,0.75219045
01/12/2017,0.57304923
01/01/2018,0.87378801
01/02/2018,1.08846929
01/03/2018,1.02953583
01/04/2018,1.01435433
01/05/2018,1.2160918
01/06/2018,1.24572814
01/07/2018,1.15523371
01/08/2018,1.25524162
01/09/2018,1.1321469
01/10/2018,1.30012681
01/11/2018,1.30865835
01/12/2018,1.25496666
01/01/2019,1.04043434
01/02/2019,1.06818285
01/03/2019,0.51720765
01/04/2019,0.42030375
01/05/2019,0.5404288
01/06/2019,0.42130162
01/07/2019,0.44057188
01/08/2019,0.42005179
01/09/2019,0.23500552
01/10/2019,0.36832453
01/11/2019,0.43361185
01/12/2019,0.51426493
01/01/2020,0.50509631
01/02/2020,0.31598579
01/03/2020,-0.12783745
01/04/2020,-0.11159442
01/05/2020,-0.02785652
01/06/2020,-0.15369936
01/07/2020,-0.3453445
01/08/2020,-0.407134
01/09/2020,-0.34333693
01/10/2020,-0.29173845
01/11/2020,-0.21395564
01/12/2020,-0.23232146
01/01/2021,-0.23501721
01/02/2021,-0.2308238
01/03/2021,0.01250687
01/04/2021,0.11804694
01/05/2021,0.03694758
01/06/2021,-0.00566485
01/07/2021,0.03504108
01/08/2021,-0.26101879
01/09/2021,-0.19473087
01/10/2021,0.08790114
01/11/2021,0.16399788
01/12/2021,0.09168917
01/01/2022,0.3194951
01/02/2022,0.44159289
01/03/2022,0.34708992
01/04/2022,0.94940027
01/05/2022,1.20389776
01/06/2022,1.02509351
01/07/2022,1.06217493
01/08/2022,0.8556253
01/09/2022,1.20424868
01/10/2022,1.79733203
01/11/2022,1.93071305
01/12/2022,1.57612515
,
